label,B10,B11,B1,B2,B3,B4,B5,B6,B7,B9
1.0,23207.0,21674.0,8023.0,7312.0,6469.0,5852.0,5585.0,5201.0,5157.0,5032.0
1.0,22997.0,21475.0,8006.0,7310.0,6471.0,5832.0,5505.0,5353.0,5271.0,5035.0
1.0,22821.0,21347.0,7993.0,7275.0,6510.0,5883.0,5596.0,5282.0,5263.0,5046.0
1.0,22664.0,21250.0,7982.0,7247.0,6493.0,5913.0,5716.0,5103.0,5107.0,5056.0
1.0,22530.0,21195.0,8027.0,7290.0,6454.0,5843.0,5642.0,5141.0,5085.0,5025.0
1.0,22454.0,21156.0,8044.0,7314.0,6464.0,5785.0,5484.0,5454.0,5293.0,5034.0
1.0,23036.0,21513.0,8034.0,7305.0,6498.0,5879.0,5623.0,5260.0,5206.0,5030.0
1.0,22789.0,21258.0,8001.0,7299.0,6496.0,5891.0,5620.0,5272.0,5216.0,5027.0
1.0,22567.0,21081.0,8025.0,7290.0,6496.0,5889.0,5629.0,5243.0,5194.0,5047.0
1.0,22397.0,20981.0,8008.0,7291.0,6484.0,5877.0,5623.0,5219.0,5166.0,5043.0
1.0,22307.0,20949.0,8013.0,7307.0,6488.0,5867.0,5611.0,5229.0,5168.0,5042.0
1.0,22272.0,20974.0,8032.0,7267.0,6489.0,5868.0,5632.0,5274.0,5206.0,5040.0
1.0,23200.0,21746.0,8021.0,7317.0,6565.0,5943.0,5635.0,5604.0,5525.0,5048.0
1.0,22894.0,21413.0,8005.0,7250.0,6558.0,5980.0,5726.0,5286.0,5365.0,5037.0
1.0,22591.0,21173.0,8027.0,7275.0,6510.0,5906.0,5713.0,5112.0,5118.0,5042.0
1.0,22377.0,20999.0,8035.0,7296.0,6455.0,5827.0,5605.0,5235.0,5119.0,5050.0
1.0,22250.0,20926.0,8021.0,7292.0,6507.0,5830.0,5473.0,5396.0,5310.0,5063.0
1.0,22217.0,20944.0,8009.0,7284.0,6521.0,5896.0,5656.0,5284.0,5285.0,5048.0
1.0,21365.0,20186.0,8307.0,7710.0,6654.0,5752.0,5381.0,5133.0,5089.0,5033.0
1.0,21145.0,20021.0,8308.0,7721.0,6673.0,5794.0,5440.0,5166.0,5116.0,5035.0
1.0,20946.0,19840.0,8270.0,7608.0,6567.0,5805.0,5481.0,5164.0,5103.0,5032.0
1.0,20788.0,19712.0,8241.0,7586.0,6607.0,5795.0,5471.0,5150.0,5101.0,5026.0
1.0,20718.0,19662.0,8042.0,7315.0,6326.0,5732.0,5463.0,5145.0,5083.0,5034.0
1.0,20637.0,19580.0,8041.0,7299.0,6310.0,5727.0,5450.0,5130.0,5086.0,5040.0
1.0,20600.0,19590.0,8001.0,7234.0,6239.0,5740.0,5611.0,5203.0,5108.0,5049.0
1.0,20628.0,19575.0,7978.0,7223.0,6255.0,5748.0,5693.0,5228.0,5110.0,5039.0
1.0,22953.0,21449.0,8216.0,7520.0,6626.0,5900.0,5524.0,5265.0,5187.0,5023.0
1.0,22473.0,21077.0,8214.0,7524.0,6613.0,5890.0,5490.0,5189.0,5126.0,5034.0
1.0,22152.0,20846.0,8233.0,7535.0,6618.0,5878.0,5456.0,5167.0,5108.0,5037.0
1.0,21956.0,20675.0,8242.0,7535.0,6603.0,5888.0,5471.0,5152.0,5104.0,5039.0
1.0,21845.0,20622.0,8250.0,7546.0,6617.0,5897.0,5482.0,5157.0,5089.0,5036.0
1.0,21800.0,20624.0,8204.0,7537.0,6597.0,5882.0,5459.0,5144.0,5085.0,5034.0
1.0,21789.0,20616.0,8212.0,7516.0,6616.0,5867.0,5467.0,5149.0,5086.0,5021.0
1.0,21779.0,20606.0,8212.0,7528.0,6616.0,5885.0,5464.0,5153.0,5084.0,5027.0
1.0,21780.0,20600.0,8221.0,7517.0,6593.0,5874.0,5453.0,5141.0,5079.0,5031.0
1.0,21794.0,20590.0,8243.0,7511.0,6602.0,5879.0,5457.0,5133.0,5072.0,5027.0
1.0,21822.0,20593.0,8215.0,7509.0,6610.0,5876.0,5469.0,5141.0,5073.0,5028.0
1.0,21891.0,20640.0,8210.0,7522.0,6599.0,5868.0,5465.0,5152.0,5079.0,5029.0
1.0,22021.0,20751.0,8223.0,7519.0,6592.0,5890.0,5470.0,5154.0,5087.0,5046.0
1.0,22227.0,20941.0,8234.0,7534.0,6662.0,5928.0,5515.0,5204.0,5141.0,5027.0
1.0,22781.0,21295.0,8218.0,7520.0,6615.0,5898.0,5516.0,5209.0,5141.0,5026.0
1.0,22341.0,20964.0,8223.0,7529.0,6604.0,5902.0,5487.0,5165.0,5120.0,5034.0
1.0,22068.0,20776.0,8229.0,7531.0,6618.0,5893.0,5476.0,5163.0,5096.0,5036.0
1.0,21920.0,20674.0,8232.0,7524.0,6608.0,5884.0,5473.0,5152.0,5102.0,5026.0
1.0,21840.0,20627.0,8226.0,7528.0,6604.0,5893.0,5482.0,5153.0,5096.0,5034.0
1.0,21803.0,20616.0,8217.0,7532.0,6600.0,5875.0,5474.0,5126.0,5085.0,5037.0
1.0,21788.0,20605.0,8234.0,7528.0,6599.0,5879.0,5459.0,5142.0,5086.0,5040.0
1.0,21781.0,20596.0,8212.0,7525.0,6604.0,5869.0,5456.0,5143.0,5075.0,5025.0
1.0,21784.0,20593.0,8204.0,7521.0,6595.0,5872.0,5463.0,5138.0,5078.0,5030.0
1.0,21794.0,20586.0,8218.0,7525.0,6606.0,5875.0,5453.0,5133.0,5086.0,5026.0
1.0,21818.0,20586.0,8222.0,7518.0,6613.0,5879.0,5455.0,5137.0,5074.0,5041.0
1.0,21888.0,20639.0,8211.0,7522.0,6606.0,5882.0,5469.0,5143.0,5081.0,5021.0
1.0,22025.0,20773.0,8215.0,7522.0,6610.0,5891.0,5467.0,5155.0,5092.0,5047.0
1.0,22244.0,20966.0,8221.0,7509.0,6655.0,5909.0,5480.0,5215.0,5133.0,5023.0
1.0,22643.0,21180.0,8228.0,7522.0,6561.0,5890.0,5506.0,5213.0,5131.0,5026.0
1.0,22240.0,20886.0,8224.0,7532.0,6608.0,5880.0,5474.0,5174.0,5102.0,5035.0
1.0,22010.0,20732.0,8223.0,7538.0,6610.0,5881.0,5463.0,5145.0,5094.0,5037.0
1.0,21894.0,20656.0,8217.0,7530.0,6611.0,5883.0,5466.0,5157.0,5099.0,5028.0
1.0,21832.0,20622.0,8217.0,7536.0,6607.0,5882.0,5466.0,5134.0,5083.0,5033.0
1.0,21801.0,20607.0,8199.0,7541.0,6616.0,5885.0,5468.0,5128.0,5086.0,5020.0
1.0,21787.0,20593.0,8219.0,7524.0,6604.0,5885.0,5467.0,5136.0,5084.0,5037.0
1.0,21781.0,20583.0,8234.0,7519.0,6603.0,5876.0,5463.0,5136.0,5076.0,5034.0
1.0,21785.0,20581.0,8233.0,7524.0,6607.0,5869.0,5461.0,5137.0,5075.0,5048.0
1.0,21797.0,20582.0,8220.0,7527.0,6608.0,5872.0,5467.0,5134.0,5071.0,5046.0
1.0,21818.0,20595.0,8220.0,7527.0,6601.0,5882.0,5452.0,5137.0,5075.0,5046.0
1.0,21878.0,20641.0,8220.0,7518.0,6603.0,5876.0,5463.0,5132.0,5084.0,5027.0
1.0,22032.0,20758.0,8214.0,7523.0,6607.0,5888.0,5462.0,5142.0,5097.0,5032.0
1.0,22259.0,20973.0,8210.0,7536.0,6645.0,5913.0,5492.0,5170.0,5111.0,5039.0
1.0,22544.0,21101.0,8212.0,7521.0,6616.0,5900.0,5500.0,5192.0,5123.0,5017.0
1.0,22174.0,20835.0,8245.0,7535.0,6605.0,5884.0,5478.0,5164.0,5099.0,5029.0
1.0,21975.0,20702.0,8243.0,7529.0,6599.0,5863.0,5472.0,5152.0,5091.0,5019.0
1.0,21874.0,20641.0,8237.0,7529.0,6603.0,5872.0,5460.0,5149.0,5088.0,5029.0
1.0,21822.0,20616.0,8217.0,7524.0,6598.0,5876.0,5453.0,5143.0,5084.0,5046.0
1.0,21796.0,20600.0,8204.0,7543.0,6611.0,5884.0,5466.0,5140.0,5086.0,5036.0
1.0,21784.0,20584.0,8228.0,7532.0,6616.0,5885.0,5448.0,5136.0,5081.0,5029.0
1.0,21779.0,20573.0,8215.0,7521.0,6600.0,5876.0,5455.0,5137.0,5077.0,5025.0
1.0,21782.0,20570.0,8216.0,7524.0,6601.0,5879.0,5443.0,5136.0,5070.0,5018.0
1.0,21795.0,20570.0,8205.0,7530.0,6596.0,5878.0,5464.0,5136.0,5072.0,5022.0
1.0,21805.0,20576.0,8211.0,7524.0,6610.0,5883.0,5448.0,5136.0,5078.0,5033.0
1.0,21859.0,20624.0,8198.0,7518.0,6605.0,5868.0,5449.0,5130.0,5082.0,5025.0
1.0,21983.0,20747.0,8210.0,7527.0,6610.0,5878.0,5459.0,5138.0,5101.0,5026.0
1.0,22213.0,20948.0,8224.0,7533.0,6636.0,5877.0,5472.0,5178.0,5135.0,5037.0
1.0,22459.0,21048.0,8231.0,7538.0,6616.0,5897.0,5477.0,5192.0,5114.0,5038.0
1.0,22128.0,20802.0,8229.0,7536.0,6601.0,5899.0,5461.0,5167.0,5096.0,5034.0
1.0,21950.0,20678.0,8235.0,7525.0,6599.0,5863.0,5470.0,5148.0,5088.0,5022.0
1.0,21854.0,20632.0,8253.0,7531.0,6616.0,5891.0,5457.0,5154.0,5083.0,5023.0
1.0,21808.0,20618.0,8234.0,7540.0,6604.0,5889.0,5451.0,5149.0,5090.0,5021.0
1.0,21786.0,20602.0,8227.0,7542.0,6616.0,5886.0,5466.0,5138.0,5086.0,5034.0
1.0,21777.0,20584.0,8235.0,7529.0,6599.0,5884.0,5467.0,5134.0,5077.0,5033.0
1.0,21774.0,20572.0,8217.0,7521.0,6612.0,5875.0,5455.0,5138.0,5077.0,5043.0
1.0,21780.0,20567.0,8231.0,7524.0,6601.0,5879.0,5446.0,5130.0,5061.0,5033.0
1.0,21793.0,20569.0,8209.0,7526.0,6597.0,5877.0,5446.0,5137.0,5071.0,5015.0
1.0,21814.0,20584.0,8226.0,7522.0,6596.0,5883.0,5447.0,5136.0,5081.0,5035.0
1.0,21852.0,20623.0,8203.0,7516.0,6605.0,5870.0,5446.0,5139.0,5075.0,5027.0
1.0,21952.0,20731.0,8227.0,7509.0,6612.0,5881.0,5460.0,5150.0,5072.0,5022.0
1.0,22166.0,20911.0,8224.0,7514.0,6628.0,5881.0,5458.0,5175.0,5109.0,5032.0
1.0,22363.0,20997.0,8221.0,7521.0,6608.0,5889.0,5484.0,5183.0,5106.0,5015.0
1.0,22078.0,20766.0,8225.0,7529.0,6601.0,5893.0,5477.0,5162.0,5093.0,5035.0
1.0,21917.0,20646.0,8235.0,7534.0,6599.0,5869.0,5472.0,5143.0,5102.0,5029.0
1.0,21831.0,20620.0,8249.0,7533.0,6614.0,5894.0,5481.0,5155.0,5093.0,5014.0
1.0,21791.0,20622.0,8240.0,7542.0,6625.0,5886.0,5479.0,5160.0,5101.0,5037.0
1.0,21775.0,20606.0,8242.0,7537.0,6627.0,5885.0,5472.0,5153.0,5086.0,5020.0
1.0,21767.0,20588.0,8233.0,7533.0,6611.0,5881.0,5465.0,5150.0,5089.0,5039.0
1.0,21769.0,20576.0,8215.0,7531.0,6605.0,5876.0,5454.0,5138.0,5077.0,5029.0
1.0,21780.0,20569.0,8216.0,7530.0,6603.0,5879.0,5453.0,5118.0,5072.0,5028.0
1.0,21797.0,20572.0,8209.0,7528.0,6612.0,5874.0,5449.0,5137.0,5073.0,5027.0
1.0,21820.0,20586.0,8218.0,7521.0,6609.0,5864.0,5447.0,5120.0,5068.0,5034.0
1.0,21855.0,20616.0,8214.0,7521.0,6603.0,5872.0,5450.0,5139.0,5084.0,5014.0
1.0,21926.0,20690.0,8207.0,7515.0,6604.0,5878.0,5460.0,5149.0,5082.0,4987.0
1.0,22087.0,20835.0,8208.0,7515.0,6614.0,5880.0,5461.0,5164.0,5102.0,5031.0
1.0,22247.0,20917.0,8206.0,7535.0,6609.0,5888.0,5480.0,5178.0,5103.0,5018.0
1.0,22014.0,20727.0,8224.0,7526.0,6617.0,5889.0,5475.0,5161.0,5092.0,5035.0
1.0,21880.0,20635.0,8233.0,7529.0,6617.0,5889.0,5474.0,5157.0,5088.0,5027.0
1.0,21808.0,20618.0,8235.0,7537.0,6625.0,5902.0,5492.0,5159.0,5093.0,5022.0
